,0,1,2
139,6.3966603,5.8171906,5.3420367
140,7.176399,6.6614065,6.207052
141,7.065587,6.9123,6.7809253
142,4.733658,3.9439764,3.698844
143,5.5819244,4.779049,4.4521356
144,7.31125,6.9519854,6.352553
145,6.799402,4.9747467,3.2596774
146,5.351946,4.7785535,3.9976847
147,9.031491,7.980917,7.956467
148,6.2253103,5.5506687,5.3199697
149,7.3212485,7.1438828,6.815113
150,5.9007425,5.3755765,4.8854923
151,6.312241,5.6876826,5.3604126
152,4.280021,3.4389076,3.1116824
153,5.80664,4.3680096,3.2298574
154,4.118016,3.168407,0.23498067
155,8.64481,7.601386,7.269001
156,6.0418115,5.815273,5.518352
157,6.5146937,6.0975933,5.4936304
158,7.0154686,6.165166,5.4367504
159,5.706646,5.379301,5.010728
160,7.534955,5.2246437,4.69812
161,7.185134,7.026445,6.926293
162,7.2460546,6.8082676,6.6375275
163,4.0361347,-0.13438883,0.04641825
164,4.133928,3.610436,0.16419606
165,5.3631988,0.16157413,0.032728225
166,6.4189024,4.6477184,4.004081
167,6.3228908,5.7384343,5.392283
168,5.0700994,4.8361397,4.2210526
169,5.8500013,5.348318,4.58549
170,6.9537935,6.0447583,5.3879924
171,7.3113003,6.5183797,6.0044928
172,4.8715854,4.4606795,4.0962834
173,5.8888264,5.4772186,5.320619
174,5.3425856,4.873927,4.425596
175,9.36155,8.966227,8.767458
